price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,Quality,id
499950.0,4,2,2860,3345,2,0,0,3,2190,670,2004,2003,27,15, 98072,-1,32
650000.0,4,2,1820,5000,1,0,1,3,1640,180,1945,2010,2,1, 98115,65,33
625000.0,4,2,2820,8408,2,0,0,3,2820,750,2014,2001,28,0, 98155,-13,34
400000.0,4,2,3630,42884,1,0,0,3,2300,1330,1979,2014,2,9, 98092,35,35
604000.0,3,2,3240,33151,2,0,2,3,3240,750,1995,2001,29,12, 98023,6,36
440000.0,2,1,800,4850,1,0,0,4,800,750,1944,2001,2,1, 98107,57,37
287200.0,3,3,1850,19966,1,0,0,4,1090,760,1992,2001,30,5, 98038,9,38
403000.0,3,2,1960,13100,1,0,2,5,1650,310,1957,2001,31,16, 98166,44,39
750000.0,3,2,2390,6550,1,0,2,4,1440,950,1955,2009,32,1, 98116,54,40
335000.0,3,2,1580,16215,1,0,0,4,1580,750,1978,2000,33,17, 98024,22,41
260000.0,4,2,1480,8625,1,0,0,4,1480,750,1974,2001,34,18, 98055,27,42
308500.0,2,1,850,6174,1,0,0,4,850,750,1950,1983,35,0, 98155,33,43
439950.0,3,2,1770,2875,2,0,0,3,1770,750,1990,2009,36,1, 98116,19,44
235000.0,2,1,1210,9400,1,0,0,2,1210,750,1949,2001,37,1, 98106,52,45
315000.0,3,1,1160,9180,1,0,0,3,1160,750,1968,1997,38,15, 98077,29,46
437500.0,3,2,1970,35100,2,0,0,4,1970,750,1977,2001,39,14, 98027,24,47
407500.0,3,2,1930,10460,2,0,0,3,1930,750,1996,2001,40,18, 98059,5,48
445700.0,3,2,1270,1180,3,0,0,3,1270,750,2001,2001,41,1, 98107,0,49
838000.0,4,2,3310,42998,2,0,0,3,3310,750,2001,2001,42,4, 98052,0,50
630000.0,4,3,2710,37277,2,0,0,3,2710,750,2000,2001,43,14, 98027,1,51
550000.0,3,2,2910,35200,1,0,0,3,2910,750,1979,2014,44,8, 98075,35,52
805000.0,3,2,2710,4500,1,0,0,4,1880,830,1929,2001,45,1, 98115,72,53
284000.0,3,2,1800,23103,1,0,0,3,1800,750,1968,1997,46,19, 98014,29,54
470000.0,5,2,2210,9655,1,0,0,3,1460,750,1976,2001,47,11, 98011,25,55
430000.0,4,2,1920,10000,1,0,0,4,1070,850,1954,1979,48,3, 98006,25,56
491500.0,4,2,2190,125452,1,0,2,3,2190,750,1968,1997,49,9, 98092,29,57
785000.0,5,3,3660,11995,2,0,2,3,3660,750,2006,2001,50,20, 98065,-5,58
385000.0,3,3,1320,1327,2,0,0,3,1040,280,2008,2001,51,1, 98199,-7,59
295000.0,2,2,1630,1368,2,0,0,3,1280,350,2009,2001,2,1, 98106,-8,60
555000.0,4,2,3310,6500,2,0,0,3,3310,750,2012,1912,52,20, 98065,-100,61
459990.0,3,2,2680,5539,2,0,0,3,2680,750,2013,1923,53,6, 98045,-90,62
625000.0,4,3,2730,54014,1,0,0,3,1560,1170,2007,2001,54,18, 98059,-6,63
300000.0,3,2,2540,5050,2,0,0,3,2540,750,2006,2001,55,2, 98042,-5,64
625000.0,4,3,2920,6605,2,0,0,3,2920,750,2012,1912,56,18, 98059,-100,65
553000.0,2,1,900,5000,1,0,0,3,900,750,1944,2001,57,1, 98117,57,66
379880.0,3,2,1650,14054,1,0,0,4,1130,520,1986,2001,58,14, 98027,15,67
310000.0,3,1,1010,9945,1,0,0,4,1010,750,1973,2001,59,20, 98065,28,68
775000.0,2,2,2680,7392,1,0,0,3,2680,750,2004,2003,60,4, 98053,-1,69
365000.0,3,2,2200,7350,1,0,0,5,1570,630,1988,2001,61,18, 98058,13,70
331950.0,4,2,2530,9933,2,0,2,3,2010,520,1990,2009,62,9, 98092,19,71
783500.0,3,2,2850,7130,2,0,0,3,1990,860,1980,2001,63,1, 98122,21,72
628000.0,4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,2,1, 98122,105,73
560000.0,3,2,1900,8744,2,0,0,3,1900,750,1987,2000,64,8, 98074,13,74
900000.0,3,1,1330,77972,1,0,0,3,1330,750,1928,1954,65,13, 98033,26,75
531000.0,2,3,1270,1175,2,0,0,3,1110,160,2000,2001,66,1, 98103,1,76
831000.0,4,3,2170,4000,2,0,0,4,1610,560,1982,2011,67,1, 98112,29,77
780000.0,4,2,2730,10281,2,0,2,3,2730,750,1996,2001,68,8, 98074,5,78
755000.0,4,2,2120,10202,1,0,0,4,1620,500,1960,2001,69,3, 98005,41,79
705380.0,3,2,2490,4343,2,0,0,3,2490,750,2003,2001,70,14, 98029,-2,80
627000.0,4,2,1990,7712,1,0,0,3,1210,780,1973,2013,71,14, 98027,40,81
865000.0,4,3,3690,9892,2,0,0,3,3690,750,1998,2006,72,8, 98075,8,82
580000.0,2,1,2540,7000,1,0,0,5,1320,1220,1942,2001,73,1, 98118,59,83
410000.0,3,2,1800,36704,1,0,0,4,1360,440,1978,2000,74,14, 98027,22,84
485000.0,4,3,2340,7048,1,0,0,4,1340,1000,1979,2001,75,13, 98034,22,85
400000.0,2,2,2110,9519,1,0,0,2,2110,750,1948,2001,76,0, 98155,53,86
549000.0,2,1,1140,5400,1,0,0,5,1140,750,1908,2001,77,1, 98112,93,87
620000.0,3,2,1480,2185,2,0,0,3,1480,750,2005,2001,78,13, 98033,-4,88
405000.0,2,3,1410,1240,2,0,0,3,1140,270,2006,2001,79,1, 98136,-5,89
232000.0,2,1,1200,8063,1,0,0,4,1200,750,1958,1972,80,10, 98198,14,90
800866.0,5,2,3180,13806,2,0,0,4,3180,750,1990,2001,81,13, 98033,11,91
650000.0,3,2,2160,9000,1,0,2,4,1400,760,1949,1985,82,1, 98177,36,92
823000.0,6,2,2920,5000,2,0,0,4,2780,140,1908,2001,83,1, 98122,93,93
770000.0,3,2,2350,5700,1,0,0,4,1810,540,1939,1989,84,1, 98112,50,94
524000.0,3,2,1560,5520,1,0,0,4,780,780,1944,2001,85,1, 98199,57,95
541125.0,5,3,2740,8426,1,0,0,4,1370,1370,1960,2001,86,3, 98006,41,96
670000.0,3,2,1680,2000,3,0,0,3,1680,750,1909,1998,87,1, 98105,89,97
384900.0,5,2,3090,12750,1,0,0,3,1750,1340,1968,1997,88,12, 98023,29,98
406100.0,3,2,1410,1332,3,0,0,3,1410,750,2005,2001,89,1, 98103,-4,99
1395000.0,5,4,4010,8510,2,0,1,5,2850,1160,1971,2001,90,1, 98105,30,100
736500.0,4,2,3180,21904,2,0,3,3,3180,750,2000,2001,91,18, 98059,1,101
570000.0,3,2,2010,6000,1,0,0,3,1330,680,1975,2001,92,4, 98052,26,102
787000.0,3,2,1330,7500,1,0,0,3,1330,750,1961,2004,93,3, 98004,43,103
328000.0,4,2,2370,6500,2,0,0,3,2370,750,1998,2006,94,9, 98092,8,104
435000.0,5,2,1840,9240,1,0,0,4,1540,300,1942,1958,95,1, 98133,16,105
499000.0,4,2,2910,6479,2,0,0,3,2910,750,2006,2001,96,20, 98065,-5,106
501000.0,4,1,2070,7519,1,0,0,3,1160,910,1963,2008,97,3, 98008,45,107
1090000.0,4,2,4340,141570,2,0,0,3,4340,750,1992,2001,98,4, 98053,9,108
400000.0,2,1,840,5510,1,0,0,3,840,750,1955,2005,99,1, 98136,50,109
220000.0,4,2,1240,9600,1,0,0,3,1240,750,1971,2001,100,12, 98023,30,110
657100.0,4,1,1390,4240,1,0,0,3,1050,340,1924,2011,101,1, 98103,87,111
309950.0,4,3,2310,5000,2,0,0,3,2310,750,2006,2001,102,5, 98038,-5,112
300000.0,3,2,1050,10072,1,0,0,3,1050,750,1986,2001,103,21, 98019,15,113
525888.0,5,2,2550,71874,1,0,0,5,1810,740,1960,2001,104,14, 98027,41,114
740000.0,4,2,2010,3600,1,0,0,3,2010,750,1902,2001,105,1, 98119,99,115
340000.0,5,1,1120,9022,1,0,0,4,1120,750,1962,2001,106,13, 98034,39,116
398750.0,3,2,2230,4000,2,0,0,3,2230,750,1954,2005,107,1, 98144,51,117
206000.0,2,1,810,7158,1,0,0,5,810,750,1944,2001,108,22, 98168,57,118
1030000.0,5,3,3190,16920,1,0,3,3,1690,1500,1976,2001,109,3, 98006,25,119
600000.0,3,2,1670,39639,1,0,0,4,1670,750,1976,1992,110,8, 98075,16,120
379950.0,4,2,1970,9389,1,0,0,5,1140,830,1960,2001,111,0, 98133,41,121
287000.0,3,1,1450,6000,1,0,0,4,1450,750,1953,1983,112,1, 98118,30,122
2280000.0,7,8,13540,307752,3,0,4,3,9410,4130,1999,2001,113,4, 98053,2,123
309950.0,3,2,1880,7838,2,0,0,3,1880,750,1994,2001,114,18, 98055,7,124
600000.0,3,2,1880,6360,1,0,0,4,1040,840,1945,2001,115,1, 98115,56,125
418000.0,3,2,1410,6030,1,0,0,4,1410,750,1930,2001,116,1, 98103,71,126
449250.0,4,2,1480,3844,1,0,0,5,1480,750,1928,1970,117,1, 98133,42,127
329950.0,2,1,1140,5250,1,0,0,4,1140,750,1949,1985,118,1, 98133,36,128
245000.0,3,2,1920,9306,1,0,0,3,1000,920,1984,2001,2,9, 98001,17,129
549000.0,4,2,2910,6338,2,0,0,3,2910,750,2008,2001,119,18, 98059,-7,130
800000.0,3,2,3240,7857,2,0,0,3,3240,750,1994,2001,2,8, 98075,7,131
249950.0,3,2,1550,15040,1,0,0,4,1550,750,1958,1972,120,18, 98059,14,132
210000.0,5,2,2050,10200,1,0,0,3,1430,620,1956,2001,2,10, 98198,45,133
1425000.0,2,2,2220,4000,2,0,0,3,2220,750,2000,2001,121,1, 98112,1,134
585000.0,2,1,1770,8640,1,0,0,3,1520,250,1949,1998,122,1, 98117,49,135
615000.0,4,2,2300,11700,1,0,0,4,1960,340,1977,2001,123,4, 98052,24,136
618500.0,3,2,1800,5000,1,0,0,4,1080,720,1942,1982,124,1, 98115,40,137
487585.0,4,2,2010,9211,1,0,0,3,1470,540,1977,2004,125,13, 98034,27,138
509900.0,3,2,1790,2700,2,0,0,3,1790,750,2010,2001,126,14, 98027,-9,139
631625.0,4,2,2440,6651,2,0,0,3,2440,750,2014,2001,2,1, 98117,-13,140
555000.0,3,2,1940,3211,2,0,0,3,1940,750,2009,2001,127,14, 98027,-8,141
340000.0,2,2,1160,1438,2,0,0,3,1160,750,2001,2001,128,1, 98144,0,142
830000.0,4,2,3400,9692,2,0,0,3,3400,750,2007,2001,129,4, 98052,-6,143
890000.0,4,4,4420,5750,2,0,0,3,3410,1010,2006,2001,130,14, 98027,-5,144
366750.0,3,3,1571,2017,3,0,0,3,1571,750,2008,2001,131,1, 98125,-7,145
415000.0,3,2,1620,998,2,0,0,3,1540,80,2010,2001,132,14, 98029,-9,146
416286.0,3,2,1408,989,3,0,0,3,1408,750,2005,2001,133,1, 98115,-4,147
478000.0,3,2,3040,4535,2,0,0,3,3040,750,2007,2001,134,18, 98056,-6,148
890000.0,5,4,4490,6000,2,0,0,3,3200,1290,2006,2001,135,14, 98027,-5,149
419190.0,2,2,1590,1426,2,0,0,3,1590,750,2014,2001,136,14, 98029,-13,150
712198.0,4,2,2450,4247,2,0,0,3,2450,750,2013,1923,137,4, 98052,-90,151
397000.0,4,2,1440,7680,1,0,0,3,1200,240,1971,2001,138,13, 98034,30,152
450000.0,2,2,1100,3000,1,0,0,3,1100,750,1912,2005,139,1, 98117,93,153
353000.0,3,1,1350,7740,1,0,0,4,860,490,1947,1988,140,1, 98125,41,154
609000.0,4,2,2150,37981,2,0,0,3,2150,750,1985,2001,141,4, 98052,16,155
234000.0,3,2,1490,8366,1,0,0,4,1010,480,1975,2001,142,23, 98042,26,156
561000.0,3,2,2000,7000,2,0,0,3,2000,750,1916,1986,143,1, 98136,70,157
469000.0,2,1,1030,4400,1,0,0,3,1030,750,1924,2011,144,1, 98117,87,158
329350.0,2,1,720,6687,1,0,0,3,720,750,1942,1999,145,1, 98117,57,159
488000.0,5,2,2020,5000,1,0,0,4,2020,750,1938,2001,2,1, 98117,63,160
279900.0,3,2,1580,8151,1,0,1,4,1100,480,1962,2001,146,10, 98198,39,161
606000.0,4,2,2110,13850,2,0,0,3,2110,750,1987,2000,147,14, 98027,13,162
312000.0,4,2,1300,7054,1,0,0,3,1300,750,1950,2013,148,1, 98146,63,163
650000.0,3,2,1630,7475,1,0,1,3,1160,470,1940,1996,149,1, 98115,56,164
1135000.0,4,3,3370,8103,1,0,3,3,1970,1400,1970,2014,18,1, 98136,44,165
325000.0,4,2,1890,6156,1,0,0,3,980,910,1980,2001,150,1, 98106,21,166
425000.0,4,2,1520,7983,1,0,0,5,1520,750,1967,2001,151,24, 98034,34,167
219000.0,2,1,900,5160,1,0,0,3,900,750,1952,2008,152,1, 98106,56,168
250000.0,3,1,1050,6874,1,0,0,3,1050,750,1954,2005,153,0, 98133,51,169
390000.0,3,2,1260,6500,1,0,0,4,1260,750,1966,2001,154,3, 98008,35,170
475000.0,6,3,3470,117612,1,0,0,3,3470,750,1924,2011,155,25, 98028,87,171
736000.0,4,2,2290,12047,2,0,0,4,2290,750,1988,2001,156,3, 98006,13,172
407000.0,4,2,2810,23400,1,0,1,3,1710,1100,1958,2004,2,10, 98198,46,173
272000.0,3,2,1650,13816,2,0,0,3,1650,750,1998,2006,2,19, 98014,8,174
362000.0,3,2,1640,14374,1,0,0,4,1140,500,1963,2001,157,22, 98148,38,175
535000.0,3,2,1850,10109,2,0,0,3,1850,750,1991,2001,158,13, 98034,10,176
284000.0,4,2,2000,5390,2,0,0,3,2000,750,2003,2001,159,2, 98042,-2,177
367500.0,3,2,1410,9647,1,0,0,3,1410,750,1961,2004,160,0, 98177,43,178
379900.0,4,2,1500,11600,1,0,0,4,1000,500,1955,2009,161,25, 98028,54,179
520000.0,3,2,2460,54885,2,0,0,4,2460,750,1980,2001,162,18, 98059,21,180
175000.0,3,1,1010,7034,1,0,0,3,1010,750,1954,2005,163,18, 98057,51,181
460000.0,2,2,1230,929,2,0,0,3,1020,210,2004,2003,164,1, 98112,-1,182
345000.0,4,2,2331,3826,2,0,0,3,2331,750,2007,2001,165,18, 98058,-6,183
455000.0,5,2,2240,7770,1,0,0,3,1340,900,1978,2001,166,13, 98034,23,184
610000.0,4,3,2450,10117,1,0,0,5,1580,870,1967,2001,167,3, 98006,34,185
563000.0,4,3,3100,15480,2,0,0,3,2400,700,1996,2001,168,25, 98028,5,186
612500.0,4,2,2060,5000,1,0,0,3,1030,1030,1949,2013,169,1, 98117,64,187
218000.0,3,2,1850,7684,1,0,0,3,1320,530,1979,2014,170,12, 98023,35,188
404000.0,4,2,1840,10720,1,0,0,3,960,880,1958,2004,171,3, 98008,46,189
860000.0,4,2,3740,32417,2,0,0,3,3740,750,2000,2001,172,4, 98053,1,190
136500.0,3,2,1420,8580,1,0,0,3,1420,750,1962,2003,173,12, 98023,41,191
313950.0,3,1,1510,6083,1,0,0,4,860,650,1940,2001,174,1, 98115,61,192
575000.0,3,2,2130,6500,1,0,2,3,1170,960,1954,2005,175,1, 98199,51,193
1225000.0,4,2,3490,6906,2,0,0,4,2280,1210,1928,2001,176,1, 98199,73,194
280000.0,3,2,1630,11800,1,0,0,4,1630,750,1971,2001,177,6, 98045,30,195
515000.0,3,2,1790,7167,2,0,0,3,1790,750,1989,2001,178,8, 98074,12,196
513000.0,4,2,2000,5684,2,0,0,3,2000,750,1996,2001,179,25, 98028,5,197
599000.0,4,2,2260,29930,2,0,0,4,1400,860,1977,2001,180,3, 98006,24,198
685000.0,4,2,3030,7864,2,0,0,3,3030,750,1999,2001,181,8, 98074,2,199
365000.0,3,2,1310,8160,1,0,0,3,1310,750,1950,2005,182,1, 98133,55,200
762300.0,4,2,3880,14550,2,0,0,3,3880,750,1987,2000,183,8, 98074,13,201
1580000.0,4,3,3760,10920,1,0,0,5,2400,1360,1950,2001,184,1, 98105,51,202
562000.0,5,2,3040,8111,2,0,0,3,3040,750,1984,2001,185,4, 98052,17,203
530000.0,5,2,2910,9636,1,0,0,4,1690,1220,1964,2001,186,3, 98008,37,204
525000.0,3,2,2970,11985,1,0,0,3,1770,1200,1995,2001,187,8, 98074,6,205
484000.0,2,2,1660,6000,1,0,0,3,1160,500,1942,1999,188,1, 98105,57,206
725126.0,4,2,3200,12369,2,0,0,3,3200,750,1998,2006,189,26, 98059,8,207
360000.0,4,2,2680,18768,1,0,0,5,2680,750,1965,2001,2,9, 98001,36,208
387000.0,3,1,1230,9568,1,0,0,5,1230,750,1962,2001,190,26, 98056,39,209
483500.0,4,2,2740,45732,2,0,0,3,2740,750,1995,2001,191,15, 98077,6,210
655500.0,4,4,3380,8330,2,0,0,3,3380,750,2000,2001,192,0, 98177,1,211
345000.0,3,1,1110,6250,1,0,0,3,1110,750,1956,2001,193,1, 98115,45,212
533000.0,5,3,1800,3780,1,0,0,3,1400,400,1926,2003,194,1, 98103,77,213
385000.0,3,2,1900,5520,1,0,0,3,1280,620,1982,2001,195,1, 98118,19,214
675000.0,2,1,930,36478,1,0,2,3,930,750,1951,1994,196,3, 98006,43,215
197000.0,3,2,1690,7735,1,0,0,4,1060,630,1976,1992,197,9, 98001,16,216
485000.0,3,2,1420,4080,1,0,0,3,1420,750,1905,2013,198,1, 98103,108,217
1870000.0,5,4,4510,15175,2,0,0,3,4510,750,1969,2002,199,27, 98040,33,218
295000.0,3,2,1980,8000,1,0,0,4,1560,420,1974,2001,200,12, 98023,27,219
499000.0,2,2,1170,2400,1,0,0,4,740,430,1903,2001,201,1, 98103,98,220
1050000.0,3,2,2200,1970,2,0,0,3,1610,590,2008,2001,202,1, 98102,-7,221
191000.0,3,2,800,8850,1,0,0,4,800,750,1959,2001,203,12, 98023,42,222
500000.0,3,2,1480,1171,3,0,0,3,1480,750,2006,2001,204,1, 98112,-5,223
390000.0,5,4,2890,5000,1,0,0,3,1310,1580,2006,2001,205,1, 98144,-5,224
979000.0,3,2,2690,4047,3,0,0,3,2690,750,2014,2001,206,1, 98117,-13,225
580000.0,4,3,3569,8327,2,0,0,3,3569,750,2013,1923,207,18, 98055,-90,226
369950.0,3,2,1270,1320,3,0,0,3,1270,750,2006,2001,208,1, 98103,-5,227
1800000.0,5,5,4490,10279,2,0,0,3,3930,560,2013,1923,209,3, 98004,-90,228
776000.0,4,2,3040,6425,2,0,0,3,3040,750,2008,2001,210,4, 98052,-7,229
519950.0,3,2,1170,1249,3,0,0,3,1170,750,2014,2001,211,1, 98107,-13,230
255000.0,5,2,2060,8632,1,0,0,3,1030,1030,1962,2003,212,22, 98146,41,231
495000.0,3,1,990,6000,1,0,0,3,990,750,1943,2002,213,1, 98105,59,232
510000.0,4,2,2430,5203,2,0,0,3,2430,750,2003,2001,214,0, 98155,-2,233
1150000.0,4,4,4460,103382,2,0,0,3,4460,750,2001,2001,215,4, 98053,0,234
253000.0,3,2,1250,10122,1,0,0,3,1250,750,1994,2001,216,28, 98010,7,235
503000.0,3,3,1540,6760,1,0,0,5,1210,330,1980,2001,217,13, 98034,21,236
275000.0,3,2,1600,7000,2,0,0,4,1600,750,1993,2001,218,5, 98038,8,237
249000.0,3,1,1110,8423,1,0,0,3,1110,750,1952,2008,219,22, 98166,56,238
310000.0,3,2,1840,10723,1,0,0,4,1220,620,1974,2001,220,18, 98058,27,239
750000.0,3,3,2520,5401,1,0,0,4,1360,1160,1946,1989,221,1, 98119,43,240
630000.0,3,2,2680,327135,2,0,0,3,2680,750,1995,2001,222,29, 98051,6,241
599999.0,9,4,3830,6988,2,0,0,3,2450,1380,1938,2003,223,1, 98103,65,242
758000.0,4,3,2410,9549,1,0,0,4,1780,630,1956,2001,224,13, 98033,45,243
248500.0,4,2,1720,10018,1,0,0,5,1720,750,1960,2001,225,23, 98042,41,244
310000.0,3,2,2070,37904,1,0,0,4,1420,650,1973,2001,226,2, 98031,28,245
460000.0,3,2,1760,9055,2,0,0,4,1760,750,1985,2001,227,4, 98052,16,246
675000.0,3,2,1680,10500,1,0,0,4,1680,750,1959,2001,228,3, 98005,42,247
526000.0,2,2,1550,2400,1,0,0,4,1550,750,1900,1971,229,1, 98103,71,248
560000.0,3,3,4120,60392,2,0,2,3,3180,940,1994,2001,230,19, 98014,7,249
415000.0,4,3,1830,9548,2,0,0,3,1830,750,1991,2001,231,11, 98028,10,250
246000.0,3,1,1400,7410,1,0,0,3,1400,750,1944,2001,232,22, 98166,57,251
314500.0,3,2,1870,12381,1,0,0,4,1870,750,1957,2001,233,12, 98003,44,252
3200000.0,7,4,6210,8856,2,0,2,5,4760,1450,1910,2001,234,1, 98109,91,253
420000.0,2,2,1040,3500,1,0,0,4,1040,750,1904,2001,235,1, 98144,97,254
535000.0,3,2,2720,149410,1,0,0,3,2720,750,1988,2000,236,19, 98014,12,255
350000.0,3,1,1010,9360,1,0,0,3,1010,750,1981,2013,237,13, 98033,32,256
515000.0,3,2,1580,9147,1,0,1,4,1210,370,1967,2001,238,3, 98008,34,257
749950.0,4,3,2600,6050,2,0,0,5,1960,640,1949,2001,239,1, 98116,52,258
230000.0,3,2,1920,9180,2,0,0,3,1920,750,1988,2000,240,18, 98057,12,259
568000.0,3,2,2350,5080,1,0,0,3,1780,570,1929,2001,241,1, 98118,72,260
250000.0,1,1,1100,4373,1,0,0,2,820,280,1947,2001,242,22, 98166,54,261
581000.0,4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,243,13, 98033,40,262
651000.0,3,2,3240,108366,2,0,0,4,3240,750,1991,2001,244,2, 98042,10,263
600000.0,3,2,2460,108900,1,0,0,4,1860,600,1977,2001,245,14, 98027,24,264
500000.0,2,1,1010,3885,1,0,0,4,1010,750,1906,1990,246,1, 98112,84,265
475000.0,2,1,820,2723,1,0,0,3,820,750,1921,2000,247,1, 98103,79,266
352000.0,5,2,2420,8560,1,0,2,3,1620,800,1978,2001,248,1, 98118,23,267
420000.0,3,2,1770,8165,2,0,0,3,1770,750,1977,2004,249,13, 98034,27,268
428000.0,2,2,1350,3900,1,0,0,3,1350,750,2003,2001,2,4, 98053,-2,269
599000.0,3,2,1960,4788,1,0,0,4,1090,870,1920,2001,2,1, 98115,81,270
492000.0,4,2,3305,16164,1,0,0,5,2245,1060,1922,1956,250,0, 98133,34,271
630000.0,2,2,2550,5663,1,0,0,3,1720,830,2011,2001,251,18, 98056,-10,272
900000.0,5,4,4130,226076,2,0,0,3,3170,960,1985,2001,2,15, 98077,16,273
1110000.0,4,2,2310,13300,1,0,0,3,1890,420,1950,2005,252,30, 98004,55,274
575000.0,4,2,1650,5000,1,0,0,3,1650,750,1955,2005,253,1, 98117,50,275
705000.0,4,2,2650,4316,1,0,0,3,1520,1130,1905,2013,254,1, 98116,108,276
940000.0,4,2,1890,5940,1,0,1,3,1470,420,1963,2008,255,1, 98112,45,277
313000.0,3,2,2190,8000,1,0,0,4,2190,750,1967,2001,256,12, 98023,34,278
618080.0,3,2,2030,6500,2,0,0,3,2030,750,1988,2000,2,14, 98027,12,279
640000.0,3,3,2270,5175,2,0,0,3,2130,140,2002,2001,257,18, 98056,-1,280
485000.0,3,2,1610,4160,1,0,0,4,1010,600,1917,2001,258,1, 98136,84,281
300000.0,2,1,760,3001,1,0,0,3,760,750,1913,1983,259,1, 98144,70,282
379500.0,2,1,1640,17335,1,0,0,3,840,800,1978,2001,2,4, 98053,23,283
339950.0,3,2,1630,12295,2,0,0,4,1630,750,1985,2001,260,18, 98058,16,284
1500000.0,6,2,3560,6480,2,0,0,4,3560,750,1914,1945,261,1, 98112,31,285
1340000.0,3,3,2960,5500,2,0,2,3,2440,520,1937,1990,262,1, 98199,53,286
500000.0,3,2,1940,37565,1,0,0,4,1940,750,1987,2001,263,14, 98027,14,287
239900.0,3,2,1410,7566,1,0,0,3,1410,750,1985,2001,264,2, 98030,16,288
314950.0,3,1,1040,16986,1,0,0,4,1040,750,1968,2001,265,18, 98059,33,289
361280.0,2,1,820,6400,1,0,0,4,820,750,1944,2001,266,1, 98126,57,290
100000.0,2,1,910,22000,1,0,0,3,910,750,1956,2001,267,31, 98001,45,291
540000.0,7,6,3700,7647,2,0,1,3,3700,750,1948,1984,2,7, 98155,36,292
480500.0,4,2,2180,11200,1,0,0,4,2180,750,1968,2001,268,15, 98072,33,293
280000.0,3,2,1600,4271,2,0,0,3,1600,750,2000,2001,269,9, 98001,1,294
440000.0,3,2,1500,6180,1,0,0,4,1060,440,1947,1988,270,1, 98118,41,295
530000.0,3,1,1340,4284,1,0,0,3,1080,260,1910,2006,2,1, 98105,96,296
560000.0,3,2,1860,13374,1,0,0,3,1860,750,1985,2001,271,14, 98027,16,297
775000.0,3,2,2540,7200,1,0,3,4,1600,940,1905,2001,272,1, 98144,96,298
160000.0,2,1,1040,13100,1,0,0,5,1040,750,1912,2001,273,2, 98032,89,299
